first_name,last_name,ssn,email
Tina,Fleming,619-16-7988,Fleming.Tina@companymail.com
Erica,Shah,164-51-7615,Shah.Erica@companymail.com
Paula,Ortiz,051-83-3290,Ortiz.Paula@companymail.com
James,Hendricks,776-83-2884,Hendricks.James@companymail.com
Lauren,King,197-94-2398,King.Lauren@companymail.com
David,Cowan,252-92-1832,Cowan.David@companymail.com
Andrew,Burton,296-23-6842,Burton.Andrew@companymail.com
Julian,Baker,337-40-7543,Baker.Julian@companymail.com
Scott,Castro,399-46-5595,Castro.Scott@companymail.com
Billy,Rodriguez,014-18-2503,Rodriguez.Billy@companymail.com
Darrell,Leblanc,005-82-7918,Leblanc.Darrell@companymail.com
David,Hammond,561-17-6312,Hammond.David@companymail.com
